ST.Date.H,A_Win.speed,A_Occurrence,B_ST.Date.H,B_Win.speed,B_Occurrence,C_ST.Date.H,C_Win.speed,C_Occurrence,D_ST.Date.H,D_Win.speed,D_Occurrence
SM4-A.2023-09-05 18:00:00,7.33,0,SM4-B.2023-09-05 18:00:00,8.17,0,SM4-C.2023-09-05 18:00:00,12.54,0,SM4-D.2023-09-05 18:00:00,10.99,0
SM4-A.2023-09-05 19:00:00,7.41,0,SM4-B.2023-09-05 19:00:00,5.25,0,SM4-C.2023-09-05 19:00:00,9.84,0,SM4-D.2023-09-05 19:00:00,9.46,0
SM4-A.2023-09-05 20:00:00,6.91,0,SM4-B.2023-09-05 20:00:00,7.17,0,SM4-C.2023-09-05 20:00:00,9.58,0,SM4-D.2023-09-05 20:00:00,5.92,0
SM4-A.2023-09-05 21:00:00,6.47,0,SM4-B.2023-09-05 21:00:00,6.17,0,SM4-C.2023-09-05 21:00:00,9.54,0,SM4-D.2023-09-05 21:00:00,6.02,0
SM4-A.2023-09-05 22:00:00,6.72,0,SM4-B.2023-09-05 22:00:00,6.84,0,SM4-C.2023-09-05 22:00:00,8.58,0,SM4-D.2023-09-05 22:00:00,6.35,0
SM4-A.2023-09-05 23:00:00,6,0,SM4-B.2023-09-05 23:00:00,6.61,0,SM4-C.2023-09-05 23:00:00,7.14,0,SM4-D.2023-09-05 23:00:00,5.4,0
SM4-A.2023-09-06,5.9,0,SM4-B.2023-09-06,7.9,0,SM4-C.2023-09-06,7.99,0,SM4-D.2023-09-06,6.88,0
SM4-A.2023-09-06 01:00:00,7.35,0,SM4-B.2023-09-06 01:00:00,8.73,0,SM4-C.2023-09-06 01:00:00,8.09,0,SM4-D.2023-09-06 01:00:00,7.72,0
SM4-A.2023-09-06 02:00:00,5.75,0,SM4-B.2023-09-06 02:00:00,7.8,0,SM4-C.2023-09-06 02:00:00,6.03,0,SM4-D.2023-09-06 02:00:00,7.94,0
SM4-A.2023-09-06 03:00:00,5.87,0,SM4-B.2023-09-06 03:00:00,7.01,0,SM4-C.2023-09-06 03:00:00,5.5,0,SM4-D.2023-09-06 03:00:00,7.61,0
SM4-A.2023-09-06 04:00:00,6.04,0,SM4-B.2023-09-06 04:00:00,6.93,0,SM4-C.2023-09-06 04:00:00,6.22,0,SM4-D.2023-09-06 04:00:00,6.88,0
SM4-A.2023-09-06 05:00:00,5.29,0,SM4-B.2023-09-06 05:00:00,5.78,0,SM4-C.2023-09-06 05:00:00,3.1,0,SM4-D.2023-09-06 05:00:00,5.74,0
SM4-A.2023-09-06 06:00:00,3.39,0,SM4-B.2023-09-06 06:00:00,4.35,0,SM4-C.2023-09-06 06:00:00,0.41,0,SM4-D.2023-09-06 06:00:00,4.92,0
SM4-A.2023-09-06 07:00:00,4.2,0,SM4-B.2023-09-06 07:00:00,5.05,0,SM4-C.2023-09-06 07:00:00,0.07,0,SM4-D.2023-09-06 07:00:00,6.17,0
SM4-A.2023-09-06 08:00:00,4.24,0,SM4-B.2023-09-06 08:00:00,5.74,0,SM4-C.2023-09-06 08:00:00,0.37,0,SM4-D.2023-09-06 08:00:00,6.26,0
